Name,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20
inactive168,8,4,6,3,9,2,2,2,4,2,10,1,10,1,6,8,6,7,10,6
inactive65,2,7,4,5,1,8,7,10,10,7,3,3,10,10,6,10,0,3,3,6
inactive125,7,10,8,8,9,7,0,1,6,5,9,10,5,10,9,3,9,8,4,7
inactive134,9,0,7,9,7,6,8,10,8,8,1,7,0,7,5,1,3,7,9,8
inactive138,8,1,10,4,3,5,5,4,4,7,10,0,0,4,10,0,1,0,10,2
inactive104,0,6,0,10,0,8,2,0,5,2,6,6,3,4,9,0,4,8,6,0
active8,9,9,3,1,2,2,6,7,4,5,2,8,3,0,7,10,9,10,8,9
inactive177,6,7,3,2,0,6,7,5,0,9,6,10,7,1,4,5,2,2,10,4
inactive89,10,5,4,0,7,6,10,4,9,8,5,8,10,4,4,7,9,9,9,1
inactive25,3,2,8,2,4,5,4,3,8,2,2,6,7,2,8,3,9,10,10,0
inactive142,7,6,0,1,4,7,6,2,3,5,5,6,4,10,8,6,3,1,8,0
inactive178,8,2,10,9,7,4,8,4,7,7,4,2,7,9,0,0,10,8,3,9
inactive15,6,10,9,2,9,8,5,9,8,10,4,2,3,9,6,0,3,7,9,10
active3,9,8,4,2,3,3,7,7,2,6,2,8,3,1,8,10,10,10,10,7
inactive20,3,9,7,8,2,7,5,3,0,4,0,7,8,0,4,10,3,6,6,4
inactive155,2,10,3,3,7,2,7,8,8,2,6,5,9,10,10,10,0,8,10,8
inactive171,5,0,6,5,5,0,2,7,5,10,7,8,7,4,4,8,3,10,8,2
inactive85,6,10,5,3,7,9,3,1,4,7,9,6,9,0,0,4,5,5,7,10
inactive37,2,7,1,0,6,0,2,9,1,5,9,0,8,5,5,9,1,3,9,8
inactive154,10,2,9,8,6,6,9,3,3,5,4,10,2,0,2,6,6,1,2,3
active1,10,10,2,0,2,1,7,9,2,5,0,10,2,2,8,8,10,8,10,9
inactive169,1,0,8,5,5,3,9,0,9,7,2,0,3,10,6,9,10,2,1,1
inactive71,3,5,8,0,4,8,5,9,2,3,10,7,1,4,10,5,10,8,2,5
inactive54,3,2,6,9,5,1,4,0,7,6,3,8,6,5,4,9,4,8,0,8
inactive156,6,0,0,1,3,1,3,9,0,8,5,9,10,10,6,8,4,10,2,6
inactive17,7,8,7,9,6,6,0,3,9,9,8,0,5,7,9,7,8,3,9,6
inactive76,4,9,4,10,6,2,3,3,1,9,4,3,9,0,10,8,2,1,9,9
inactive74,7,4,10,5,1,6,0,5,4,8,9,7,6,2,8,8,2,3,0,7
inactive55,5,6,1,2,5,7,8,0,10,2,8,7,10,1,0,9,8,6,2,6
inactive185,3,2,2,0,1,4,9,4,9,5,3,1,7,9,6,3,5,10,3,3
inactive49,6,1,1,0,9,3,6,6,7,8,1,10,4,4,1,4,0,5,3,2
inactive147,0,6,10,5,0,8,1,2,4,7,1,1,6,6,7,9,2,5,6,0
inactive100,2,9,1,5,5,6,7,6,4,8,9,1,6,4,4,1,10,10,1,5
inactive117,4,0,6,5,0,9,6,0,1,9,6,4,2,0,6,2,5,2,5,8
inactive113,3,6,4,3,10,2,6,5,8,1,0,3,2,10,1,7,9,9,2,3
inactive87,6,6,3,6,2,1,5,9,7,6,1,4,7,10,9,8,7,0,10,0
inactive152,2,0,1,7,9,6,4,8,7,10,1,4,8,6,3,7,9,2,4,6
inactive157,0,5,8,1,1,3,0,2,9,7,1,7,0,5,8,10,4,5,9,5
inactive18,9,2,0,1,2,6,7,9,7,5,0,5,0,8,2,4,1,4,8,5
active6,10,10,3,0,3,1,6,7,3,6,1,10,1,2,7,8,10,8,9,9
